obsid,video_id,year,n_rows,n_codeable_turns,n_teacher_turns,n_chars,shared_video_id,sha256
2952,459,2,141,141,70,26415,,d66b533ee132fb9673dedb9948ec9af33145cc4e8f6c41b5f298a1206d9a678c
2953,551,2,158,158,74,15752,,b3c262d898f272bceba7423b43bfe60f64d7186e5dc36ff1fb35257e090cf29b
2954,535,2,183,183,87,18983,,9cec1d5b1998f643295bb88bdba5deca1a1fb7e9c33c35e6689910e095c5c27f
2955,538,2,244,244,121,23145,,1654bf9f555e02ec400b65ba95aafb4ad3f17d84f4786c412a563d63ab58f513
2956,536,2,154,154,76,20095,,0a9c327b83878d9997b38bbeedf17076b8517c32c6f51bfcfb432f67e5409547
2957,551,2,187,187,94,20377,,24b0fc845947b975dc3c400e21de884ab2fd0cc12a486b5b4ce47a926e24fa58
2958,559,2,128,128,64,23716,,bd1cc3a2b485e9b6090e3da01fdfa1cba241a5bfbc89f5985ea4a9b1cdeb4c0a
2959,545,2,154,154,53,20163,,d87180b5ee6d720fa2ffb1b8ca074158be64459b5e08643c8642faa5b26ad6c9
2960,544,2,401,401,224,30452,,73755f59e6acdc45f8572b79cda9824719dd045b840a50ff9ad543b259711c5e
2961,543,2,333,333,160,36380,,611bf98d1456954542bafda186460b2654f63780d1c449efc9cb8a2c7d7a3bfc
2962,568,2,80,80,29,9777,,38514cfb83592a3a9e5201d6dbdd464070c61f8a7342bdfe6d3474449eae5dad
2963,427,2,315,315,157,25366,,396639ec0577d2d54babc7ccec127ece5fb3b5d8bb6eb050c270df1d685a3806
2964,428,2,446,446,234,35517,,5fe8e3f4846a3e4d634c556b6045c4c24953d92210ab0b611f6d55c9e80d14c1
2965,416,2,221,221,108,29411,,68951eb5b3d5e2aa914a14698b70667623bfa725ba76214ea67c2703fd7c8155
2967,413,2,400,400,222,30030,,10f289c9f152974c063458d508460a7c08d470534b5aa5d83ee20182da08fe66
2968,415,2,386,386,193,24572,,c6a08c994ba7b9161db1f7737ab7d41e789415df2b0685164e2d7a02680a193e
